,,,dt,,CTE,,angle,,,,,
step,217, dt,0.31524, cte,-0.1336, steer angle,0.6161, steer setpt,1.37342, steer cmd,0.04187, 
step,218, dt,0.01218, cte,-0.2125, steer angle,1.1754, steer setpt,2.32044, steer cmd,0.06136, 
step,219, dt,0.01317, cte,-0.2145, steer angle,1.4831, steer setpt,1.2147, steer cmd,0.04454, 
step,220, dt,0.01267, cte,-0.2145, steer angle,1.4831, steer setpt,1.16723, steer cmd,0.04275, 
step,221, dt,0.01566, cte,-0.2161, steer angle,1.5497, steer setpt,1.13696, steer cmd,0.03616, 
step,222, dt,0.01468, cte,-0.2171, steer angle,1.5051, steer setpt,1.18792, steer cmd,0.03269, 
step,223, dt,0.01632, cte,-0.2171, steer angle,1.5051, steer setpt,0.26492, steer cmd,0.00693, 
step,224, dt,0.01322, cte,-0.2178, steer angle,1.2537, steer setpt,0.2579, steer cmd,-0.00307, 
step,225, dt,0.01253, cte,-0.2181, steer angle,0.6097, steer setpt,0.26991, steer cmd,-0.00279, 
step,226, dt,0.01334, cte,-0.2183, steer angle,0.3595, steer setpt,0.26132, steer cmd,-0.00355, 
step,227, dt,0.01322, cte,-0.2183, steer angle,0.3595, steer setpt,0.25707, steer cmd,-0.00558, 
step,228, dt,0.0143, cte,-0.2183, steer angle,0.3475, steer setpt,0.26465, steer cmd,-0.00658, 
step,229, dt,0.0137, cte,-0.2182, steer angle,0.2969, steer setpt,0.26247, steer cmd,-0.00669, 
step,230, dt,0.01275, cte,-0.2182, steer angle,0.2969, steer setpt,0.26608, steer cmd,-0.0072, 
step,231, dt,0.01292, cte,-0.2178, steer angle,0.269, steer setpt,0.26591, steer cmd,-0.00702, 
step,232, dt,0.01472, cte,-0.2174, steer angle,0.2562, steer setpt,0.26795, steer cmd,-0.00678, 
step,233, dt,0.01424, cte,-0.2174, steer angle,0.2562, steer setpt,0.2747, steer cmd,-0.0065, 
step,234, dt,0.0143, cte,-0.2167, steer angle,0.2667, steer setpt,0.27413, steer cmd,-0.0065, 
step,235, dt,0.31341, cte,-0.2159, steer angle,0.2739, steer setpt,0.27087, steer cmd,-0.00661, 
step,236, dt,0.01165, cte,-0.1443, steer angle,0.2738, steer setpt,-0.5917, steer cmd,-0.02629, 
step,237, dt,0.01274, cte,-0.1257, steer angle,0.2711, steer setpt,-0.83595, steer cmd,-0.04219, 
step,238, dt,0.013, cte,-0.1046, steer angle,-0.221, steer setpt,-1.12331, steer cmd,-0.05271, 
step,239, dt,0.0124, cte,-0.1046, steer angle,-0.221, steer setpt,-1.15367, steer cmd,-0.06667, 
step,240, dt,0.01373, cte,-0.0826, steer angle,-0.8815, steer setpt,-1.4517, steer cmd,-0.07158, 
step,241, dt,0.01289, cte,-0.0608, steer angle,-1.2304, steer setpt,-0.89259, steer cmd,-0.05977, 
step,242, dt,0.01239, cte,-0.0608, steer angle,-1.2304, steer setpt,-0.69521, steer cmd,-0.05247, 
step,243, dt,0.01353, cte,-0.0392, steer angle,-1.058, steer setpt,-0.72403, steer cmd,-0.0499, 
step,244, dt,0.01424, cte,-0.0179, steer angle,-0.8755, steer setpt,-1.00726, steer cmd,-0.05533, 
step,245, dt,0.31565, cte,-0.0179, steer angle,-0.8755, steer setpt,-0.77106, steer cmd,-0.05079, 
